distance_to_subject,prop_type,stories,address,city_province,sale_date,sale_price,dom,location_similarity,lot_size,age,condition,gla,room_count,bed_count,bath_count,basement_finish,parking,neighborhood,orderID
0.43 KM,Detached,2 Storey,393 Stoneway Dr,Nepean ON K2G 6G7,Mar/16/2025,"725,000",71,Similar,37 x 74 / 2841 SqFt,1995 +/-,Similar,1688 SqFt,7,3,2:1,Full/Finished,Sgl. Att. Gar.,,4759498
0.92 KM,Detached,2 Storey,24 Avonhurst Ave,Nepean ON K2J 4K9,Mar/27/2025,"650,000",78,Similar,35 x 111.54 / 3907 SqFt,1996 +/-,Similar,1453 SqFt,6,3,1:1,Full/Finished,Sgl. Att. Gar.,,4759498
1.90 KM,Detached,2 Storey,53 Armagh Way,Nepean ON K2J 4C1,Apr/04/2025,"759,500",9,Similar,35.17 X 111.97 / 3984 SqFt,1993 +/-,Similar,1944 SqFt,7,3,3:1,Full/Part Finished,Dbl. Att. Gar.,,4759498
0.43 KM,Detached,1 Storey,34 Craigmore Dr,Halifax NS B3N 1M2,Dec/20/2024,"845,000",32+/-,Inferior,22489+/-SqFt,65+/-,Similar,1374+/-SqFt,6,3,1:0,Full/Part Finished,Single Builtin,,4759512
0.28 KM,Detached,1 Storey,4 Piers Ave,Halifax NS B3N 1Z3,Dec/03/2024,"702,000",3+/-,Inferior,7000+/-SqFt,69+/-,Similar,1060+/-SqFt,6,3,1:0,Full/Finished,Driveway,,4759512
0.22 KM,Detached,1 Storey,44 Walton Dr,Halifax NS B3N 1X7,Sep/21/2024,"888,000",7+/-,Superior,14738+/-SqFt,72+/-,Inferior,1921+/-SqFt,8,4,2:0,Full/Part Finished,Dbl (2 Bay) Builtin,,4759512
0.79 KM,Duplex,2 Storey,135 Hawthorne St,Dartmouth NS B2Y 2Z1,Mar/31/2025,"951,000",5+/-,Superior,3796+/-SqFt,102+/-,Superior,1560+/-SqFt,6,3,3:0,Full/Finished,Driveway,,4759561
0.89 KM,Detached,2 Storey,53 Pine St,Dartmouth NS B3A 1X3,Feb/19/2025,"908,000",3+/-,Similar,6500+/-SqFt,102+/-,Similar,1856+/-SqFt,7,3,1:1,Full/Finished,Driveway,,4759561
0.34 KM,Duplex,2 Storey,73 Prince Albert Rd,Dartmouth NS B2Y 1M1,May/18/2024,"782,500",18+/-,Similar,4000+/-SqFt,95+/-,Inferior,2302+/-SqFt,7,3,2:0,Full/Unfinished,Driveway,,4759561
0.48 KM,Semi Detached,Bi-Level,1702 Caldwell Rd,Eastern Passage NS B3G 1C6,Jan/13/2025,"320,000",38+/-,Inferior,4641+/-SqFt,38+/-,Inferior,1250+/-SqFt,6,3,1:1,None,Paved Driveway,,4759562
1.05 KM,Semi Detached,2 Storey,49 Peter Crt,Eastern Passage NS B3G 1S9,Oct/18/2024,"370,000",16+/-,Similar,3238+/-SqFt,21+/-,Superior,1403+/-SqFt,6,3,2F,None,Paved Driveway,,4759562
,Semi Detached,2 Storey,177 Melrose Cres,Eastern Passage NS B3G 1P2,Oct/16/2024,"367,000",2+/-,Similar,3426+/-SqFt,28+/-,Average,1281+/-SqFt,6,3,1:1,None,Paved Driveway,,4759562
0.16 KM,Detached,2 Storey,23 White Dove Crt,Halifax NS B3N 3G5,Mar/25/2025,"680,000",2+/-,Superior,5058+/-SqFt,22+/-,Similar,1920+/-SqFt,6,3,2:1,Full/Finished,Driveway,,4759604
0.32 KM,Detached,2 Storey,45 Ridgestone Crt,Halifax NS B3N 3H8,Jan/24/2025,"678,000",91+/-,Superior,4429+/-SqFt,18+/-,Similar,1834+/-SqFt,8,4,2:1,Full/Finished,Driveway,,4759604
0.11 KM,Detached,2 Storey,94 Tamarack Dr,Halifax NS B3N 3H1,Nov/16/2024,"600,000",2+/-,Inferior,4359+/-SqFt,22+/-,Superior,1353+/-SqFt,6,3,2:1,Full/Finished,Driveway,,4759604
0.49 KM,Detached,1.5 Storey,36 Mount Pleasant Ave,Dartmouth NS B3A 3T4,Apr/07/2025,"787,000",5+/-,Similar,4343+/-SqFt,70+/-,Similar,1879+/-SqFt,8,4,1:1,Full/Finished,Sgl. Att. Gar.,,4759846
0.41 KM,Detached,3 Level Split,2 Lawnsdale Dr,Dartmouth NS B3A 2N2,Feb/17/2025,"780,000",6+/-,Similar,5700+/-SqFt,71+/-,Superior,1892+/-SqFt,8,4,2:0,Full/Part Finished,Driveway,,4759846
0.13 KM,Detached,Bi-Level,40 Kingston Cres,Dartmouth NS B3A 2M2,Nov/20/2024,"708,000",2+/-,Similar,7370+/-SqFt,51+/-,Inferior,1531+/-SqFt,6,3,1:1,Full/Finished,1.5 Builtin,,4759846
0.01 KM,Townhouse,2 Storey,366 Bruyère St,Ottawa ON K1N 5E7,Jan/31/2025,"1,194,900",8 +/-,Similar,22.63 x 53.12 / 1221 SqFt,1907 +/-,Superior,1582 SqFt,8,3,2:0,Full/Unfinished,Driveway surface,,4764028
0.80 KM,Townhouse,3 Storey,2 Brigadier Pvt,Ottawa ON K1N 1E6,Aug/14/2024,"922,500",12 +/-,Similar,30.9 x 103.38 / 2985 SqFt,1996 +/-,Inferior,1823 SqFt,7,2,2:0,Full/Finished,Sgl. Att. Gar.,,4764028
0.91 KM,Townhouse,3 Storey,383 Daly Ave,Ottawa ON K1N 6G8,Jul/15/2025,"1,247,000",28 +/-,Similar,24 x 99 / 2449 SqFt,1867 +/-,Similar,3336 SqFt,10,5,3:1,Full/Finished,Sgl. Att. Crprt.,,4764028
0.13 KM,Detached,Bungalow,1035 Connery Ave,Ottawa ON K1G 2N9,Mar/06/2025,"550,000",6 +/-,Similar,53 x 100 / 5300 SqFt,1961 +/-,Similar,1109 SqFt,6,3,2:0,Full/Finished,Sgl. Att. Crprt.,,4766326
0.68 KM,Detached,Bungalow,816 Dickens Ave,Ottawa ON K1G 2X8,Jan/10/2025,"615,000",36 +/-,Similar,43 x Irr / 7008 SqFt,1960 +/-,Average,1313 SqFt,6,3,2:0,Full/Finished,Driveway surface,,4766326
0.91 KM,Detached,Bungalow,826 Hamlet Rd,Ottawa ON K1G 1R2,Apr/14/2025,"656,000",20 +/-,Similar,56 x 90 / 5039 SqFt,1956 +/-,Superior,1204 SqFt,6,3,1:1,Full/Finished,Driveway surface,,4766326
0.07 KM,Condominium,2 Storey,75 Forestside Cres,Halifax NS B3M 1M5,Mar/06/2025,"433,000",14,Similar,Condo,1970,Superior,1386 SqFt,5,4,1:1,Part Finished,Lot,,4766430
0.01 KM,Condominium,2 Storey,92 Forestside Cres,Halifax NS B3M 1M4,Feb/26/2025,"405,000",4,Similar,Condo,1970,Inferior,1386 SqFt,5,3,1:1,Full/Part Finished,Lot,,4766430
0.30 KM,Condominium,2 Storey,238 Willett St,Halifax NS B3M 3C8,Jul/18/2024,"450,000",5,Similar,Condo,1974,Superior,1366 SqFt,6,4,1:1,Full/Part Finished,Lot,,4766430
0.00 KM,High Rise Apartment,1 Storey,1112-730 2 Ave SW,Calgary AB T2P 1R8,Mar/28/2025,"405,000",38 +/-,Inferior,Common Property,2024,Similar,512.09 SqFt,5,1,1F,No Basement,Street,,4767066
1.57 KM,High Rise Apartment,1 Storey,2104-930 16 Ave SW,Calgary AB T2R 1C2,Apr/09/2025,"412,500",21 +/-,Superior,Common Property,2019,Inferior,552.87 SqFt,5,1,1F,No Basement,"1, Undgrnd. Stall",,4767066
0.83 KM,High Rise Apartment,1 Storey,1606-108 Waterfront Crt SW,Calgary AB T2P 1K7,Feb/27/2025,"385,000",27 +/-,Similar,Common Property,2018,Inferior,558.27 SqFt,5,1,1F,No Basement,"1, Undgrnd. Stall",,4767066
0.51 KM,Detached,2 Storey,111 Damselfly Way,Nepean ON K2J 6C4,Mar/05/2025,"750,000",6,Similar,33.43 x 93.29 / 2928 SqFt,2016 +/-,Similar,1919 SqFt,7,3,2:1,"Full, Unfinished",Sgl. Att. Gar.,,4768014
1.22 KM,Detached,2 Storey,328 Appalachian Cir,Nepean ON K2J 6X3,Feb/26/2025,"715,000",49,Similar,35 x 69.88 / 2440 SqFt,2023 +/-,Similar,1746 SqFt,6,3,2:1,Full/Part Finished,Sgl. Att. Gar.,,4768014
1.52 KM,Detached,2 Storey,2402 Regatta Ave,Nepean ON K2J 0T8,Apr/14/2025,"779,000",32,Similar,33.95 x 81.9 / 2786 SqFt,2009 +/-,Inferior,1993 SqFt,6,3,3:1,Full/Finished,Sgl. Att. Gar.,,4768014
11.77 KM,Duplex,2.5 Storey,226 Kent St,Port Colborne ON L3K 3A1,Feb/24/2025,"573,000",45,Similar,40' x 120' / 4800 SqFt,1920,Similar,2185 SqFt,9,4,2:0,Full/Unfinished,Dbl. Det. Gar.,,4768037
1.56 KM,Duplex,Split Level,168 Windsor St,Welland ON L3C 6T6,Dec/12/2024,"570,000",77,Similar,30' x 110' / 3200 SqFt±,1986,Superior,2054 SqFt,10,5,2:0,Adjusted above in LFA,Driveway,,4768037
5.44 KM,Duplex,2 Storey,1105 Haist Street,Pelham ON L0S 1E2,Dec/09/2024,"645,000",24,Superior,75' x 160' / 12000 SqFt±,1928,Similar,1962 SqFt,9,4,2:0,Full/Unfinished,Driveway,,4768037
19.68 KM,Townhouse,2 Storey,21-4552 Portage Rd,Niagara Falls ON L2E 0B8,Mar/26/2025,"655,000",111,Superior,n/a condo,2024±,Inferior,1600 SqFt±,8,4,2:1,Full/Unfinished,2 Car Built-in,,4763606
1.06 KM,Townhouse,2 Storey,1-150 Broadway,Welland ON L3C 0J2,Apr/03/2025,"520,000",64,Similar,n/a condo,2023±,Inferior,1400 SqFt±,6,3,2:1,Full; part finished/3pc,1 Car Detached,,4763606
6.03 KM,Townhouse,2 Storey,14-96 Welland Rd,Fonthill ON L0S 1E4,Apr/16/2025,"715,000",58,Superior,n/a condo,2021,Superior,1675 SqFt,6,3,2:1,Full/Unfinished,1 Car Detached,,4763606
1.12 KM,Detached,1 Storey,9 Chittick Ave,Dartmouth NS B2Y 3J7,Feb/28/2025,"547,500",4+/-,Superior,8799+/-SqFt,70+/-,Superior,1303+/-SqFt,6,3,1:0,Full/Part Finished,Driveway,,4763898
0.67 KM,Detached,1 Storey,27 Cranston Ave,Dartmouth NS B2Y 3G1,Jan/31/2025,"441,200",7+/-,Superior,10030+/-SqFt,59+/-,Inferior,1215+/-SqFt,6,3,1:0,Full/Unfinished,Sn. Bin. Gar. (-),,4763898
0.67 KM,Detached,1.5 Storey,13 Chestnut Lane,Dartmouth NS B2Y 3X1,Nov/08/2024,"431,000",4+/-,Inferior,6500+/-SqFt,79+/-,Superior,1004+/-SqFt,5,3,1:0,Full/Unfinished,Driveway (gravel),,4763898
0.45 KM,Detached,2 Storey,1131 Wintergreen Cres,Kingston ON K7P 2G3,Jan/30/2025,"757,750",24,Superior,"60' x 110' / 6,600 sf",36,Average,"2,617 SqFt",14+6,4,3:1,Full/Finished,Double Attached,,4765154
0.16 KM,Detached,Split Level,829 Larchwood Cres,Kingston ON K7P 2P8,Mar/05/2025,"585,000",36,Superior,"47.8' x 104.5' / 4,995 sf",36,Inferior,"1,732 SqFt",5+4,3+1,1:1,Part / Finished,Single Attached,,4765154
0.50 KM,Detached,2 Storey,768 Cataraqui Woods Dr,Kingston ON K7P 2R1,Mar/31/2025,"544,000",4,Similar,"38.8' x 114.8' / 4,454 sf",36,Inferior,"1,221 SqFt",8+2,3,1:1,Full/Part Finished,No Garage,,4765154
5.07 KM,Detached,1 Storey,23805 Merlin Rd,Tilbury ON N0P 2L0,Feb/20/2025,"354,500",29,Similar,80 x 104,36,Inferior,1765 SqFt,9,3,1:0,Crawl Space,Sgl. Det. gar.,,4765502
10.16 KM,Detached,1.5 Storey,6129 Seventh Line W,Merlin ON N0P 1W0,Jan/22/2025,"492,500",40,Similar,132 x 185,90,Superior,1864 SqFt,12,3,2:1,Crawl Space,Driveway,,4765502
2.44 KM,Detached,2 Storey,6673 Riverview Line,Chatham ON N7M 5T1,Dec/16/2024,"490,000",47,Superior,110 x irregular,115,Superior,1700 SqFt,8,3,1:1,Part/Unfinished,Driveway,,4765502
0.12 KM,Detached,2 Storey,1729 Reginald Bart Dr,Kingston ON K7K 0E8,Oct/21/2024,"640,000",46,Similar,32.8' x 98' / 3214 sf,11,Average,"1,478 sf",12,3,1:1,Part/Full Finished,Single Attached,,4765899
0.42 KM,Detached,2 Storey,67 Schooner Dr,Kingston ON K7K 7K1,Mar/31/2025,"717,000",11,Similar,35' x 122.6' / 4291 sf,23,Superior,"1,629 sf",15,3+1,3:1,Full/Finished,Single Attached,,4765899
0.44 KM,Detached,1 Storey,63 Schooner Dr,Kingston ON K7K 7K1,Feb/13/2025,"650,000",8,Similar,35' x 122.6' / 4291 sf,23,Average,"1,079 sf",8+5,2+1,3:0,Full/Finished,Single Attached,,4765899
0.87 KM,Duplex,2 Storey,275 Division St,Kingston ON K7K 3Z7,Feb/12/2025,"675,000",76+/-,Similar,20' x 95' / 1900 sf,100+/-,Superior,1500 +/- SqFt,8,4,2:0,Cellar,Sgl. Det. gar.,,4765948
0.72 KM,Triplex,2 Storey,1-21 Cherry St,Kingston ON K7K 3W2,Oct/29/2024,"764,900",19+/-,Similar,45' x 85' / 3825 sf,70+/-,Superior,3000 +/- SqFt,9,5,3:0,Included Above,No Garage,,4765948
0.69 KM,Duplex,1 Storey,46 York St,Kingston ON K7K 1P5,Jan/18/2025,"617,500",2+/-,Similar,36' x 92' / 3312 sf,40+/-,Average,2000 +/- SqFt,8,4,2:0,Included Above,Sgl. Det. gar.,,4765948
0.24 KM,Townhouse,2 Storey,550 Paine Ave,Kanata ON K2T 0K7,Feb/21/2025,"650,000",7 +/-,Similar,25x 98 / 3035.35 sf +/-,2016 +/-,Similar,1570 SqFt,6,3,2:1,Full/Finished,Sgl. Att. Gar.,,4768126
0.33 KM,Townhouse,2 Storey,524 Paine Ave,Kanata ON K2T 0K7,Feb/27/2025,"676,000",27 +/-,Similar,27 x 98 / 2664.87 sf +/-,2015 +/-,Similar,1869 SqFt,8,5,2:1,Full/Finished,Sgl. Att. Gar.,,4768126
0.11 KM,Townhouse,2 Storey,164 Calvington Ave,Kanata ON K2T 0H8,Mar/26/2025,"706,000",2 +/-,Similar,22 x 89 / 3159.74 sf +/-,2013 +/-,Similar,1830 SqFt,7,4,2:1,Full/Finished,Sgl. Att. Gar.,,4768126
0.52 KM,Townhouse,2 Storey,965 Linaria Walk,Orléans ON K4A 0H9,Mar/11/2025,"627,500",14 +/-,Similar,25.39 x 104.99 /2665 SqFt,2009 +/-,Inferior,1551 SqFt,6,3,2:1,Full/Finished,Sgl. Att. Gar.,,4768528
1.31 KM,Townhouse,2 Storey,2282 Descartes St,Orléans ON K4A 0W4,Jan/23/2025,"700,994",8 +/-,Similar,23.59 x Irr / 4843 SqFt,2013 +/-,Inferior,1873 SqFt,6,3,2:1,Full/Finished,Sgl. Att. Gar.,,4768528
0.27 KM,Townhouse,2 Storey,958 Socca Cres,Orléans ON K4A 5M1,Mar/26/2025,"705,000",15 +/-,Similar,22.78 x Irr / 3582 SqFt,2022 +/-,Similar,1932 SqFt,7,4,2:1,Full/Finished,Sgl. Att. Gar.,,4768528
0.99 KM,Condominium,2 Storey,3518 John Parr Dr,Halifax NS B3K 5V2,Jan/17/2025,"434,500",4 DOM,Similar,n/a,36,Average,1150 SqFt,6,3,2,None,No Garage,,4769110
0.14 KM,Condominium,2 Storey,5617 Carriageway Cres,Halifax NS B3K 5K4,Mar/28/2025,"465,000",7 DOM,Similar,n/a,47,Average,1216 SqFt,6,3,2,Full/Part Finished,Sgl. Att. Gar.,,4769110
0.06 KM,Condominium,2 Storey,3882 Novalea Dr,Halifax NS B3K 3G6,Apr/14/2025,"434,523",3 DOM,Inferior,n/a,51,Average,1500 SqFt,6,3,2,Full/Part Finished,Sgl. Att. Gar.,,4769110
14.96 KM,Detached,Bungalow,253 Queen Street,Atwood ON N0G 1B0,Apr/06/2025,"825,000",10 +/-,Similar,0.49 Acre,2011 +/-,Average,1567 SqFt,6,2,2F,Full/Finished,Trpl. Att. Gar.,,4769269
0.06 KM,Detached,Bungalow,84343 Kent Line,Brussels ON N0G 1H0,Apr/01/2025,"1,128,000",26 +/-,Similar,1.22 Acres,2021 +/-,Average,1769 SqFt,6,2,2F,Full/Finished,Dbl. Att. Gar.,,4769269
26.43 KM,Detached,Bungalow,234 Henry Street,Mitchell ON N0K 1N0,Dec/18/2024,"825,720",36 +/-,Similar,0.15 Acre,2024 +/-,Average,1680 SqFt,6,3,2F,Full/Unfinished,Dbl. Att. Gar.,,4769269
0.39 KM,Detached,Bungalow,189 Blackhorse Dr,Kemptville ON K0G 1J0,Oct/04/2024,"925,000",28 +/-,Similar,42.65 x 110 / 4691 SqFt,2021 +/-,Inferior,1814 SqFt,6,2,3:0,Full/Finished,Dbl. Att. Gar.,,4770115
0.64 KM,Detached,Bungalow,116 Blackhorse Dr,Kemptville ON K0G 1J0,Nov/04/2024,"1,100,000",28 +/-,Similar,59.59 x 114.82 / 6842 SqFt,2020 +/-,Inferior,1523 SqFt,6,2,3:0,Full/Part Finished,Dbl. Att. Gar.,,4770115
7.73 KM,Detached,Bungalow,13 Tilly Lane,Oxford Mills ON K0G 1S0,Apr/30/2025,"1,250,000",36 +/-,Similar,140.69 x 343.52 / 48329 SqFt,2022 +/-,Similar,1988 SqFt,8,4,3:0,Full/Finished,Dbl. Att. Gar.,,4770115
0.22 KM,Detached,2 Storey,261 Arthur St,Gananoque ON K7G 1B3,Nov/29/2024,"640,000",112,Similar,"60' x 120' / 7,200 sf",100+,Average,"1,590 sf",12,2,1:1,Cellar,No Garage,,4770310
0.03 KM,Detached,2.5 Storey,198 South St,Gananoque ON K7G 1A2,Apr/10/2025,"550,000",8,Similar,"63' x 123' / 7,749 sf",100+,Inferior,"3,440 sf",14,4+3,5:0,Cellar,Single Detached,,4770310
0.20 KM,Detached,2 Storey,260 John St,Gananoque ON K7G 1A7,Jun/13/2024,"600,000",17,Similar,"60' x 210' / 12,600 sf",100+ / 10,Inferior,"2,336 sf",12,4,2:0,Crawl Space,No Garage,,4770310
0.06 KM,Condominium,1 Storey,202-550 Talbot Pl,Gananoque ON K7G 3C6,Dec/12/2024,"237,000",134,Similar,NA,35,Inferior,819 sf,5,2,1:0,Condo Common,1 Space,,4771097
1.02 KM,Condominium,1 Storey,404-610 William St S,Gananoque ON K7G 3A4,Feb/08/2025,"325,000",36,Superior,NA,45,Average,594 sf,7,1,1:0,Condo Common,1 Space,,4771097
0.00 KM,Condominium,1 Storey,305-540 Talbot Pl,Gananoque ON K7G 3C6,Jul/23/2024,"255,000",26,Similar,NA,35,Average,819 sf,6,2,1:0,Condo Common,1 Space,,4771097
2.37 KM,Detached,2 Storey,286 Taravista Dr NE,Calgary AB T3J 5L8,Feb/25/2025,"827,500",33 +/-,Inferior,355 SqM,2006,Superior,2537.40 SqFt,9,4,2F 2H,Full/Finished,Dbl. Att. Gar.,,4771029
2.94 KM,Detached,2 Storey,133 Saddlelake Grove NE,Calgary AB T3J 0N8,Feb/28/2025,"830,000",35 +/-,Superior,369 SqM,2013,Inferior,2811.00 SqFt,9,4,4F,Full/Finished,Dbl. Att. Gar.,,4771029
0.49 KM,Detached,2 Storey,63 Martinview Cres NE,Calgary AB T3J 2S5,Dec/19/2024,"750,000",20 +/-,Inferior,489 SqM,1991,Similar,2336.52 SqFt,9,5,3F,Full/Finished,Dbl. Att. Gar.,,4771029
2.41 KM,Detached,3 Storey,116 Ambleside Cres NW,Calgary AB T3P 1S6,Jan/07/2025,"942,000",55 +/-,Inferior,343 SqM,2024,Superior,3068.75 SqFt,9,5,4F 1H,Full/Unfinished,Dbl. Att. Gar.,,4771641
31.28 KM,Detached,3 Storey,1134 Alpine Ave SW,Calgary AB T2Y 0T2,Jan/27/2025,"840,000",17 +/-,Similar,240 SqM,2023,Superior,2206.09 SqFt,6,3,2F 1H,Full/Unfinished,Dbl. Det. Gar.,,4771641
2.86 KM,Detached,3 Storey,21 Panora St NW,Calgary AB T3K 0R6,Mar/07/2025,"635,000",59 +/-,Similar,333 SqM,2011,Inferior,1998.70 SqFt,8,4,3F 1H,Full/Unfinished,Off Street,,4771641
0.31 KM,Detached,4 Level Split,6248 Taralea Pk NE,Calgary AB T3J 5A8,Mar/25/2025,"647,500",50 +/-,Inferior,416 SqM,2003,Superior,1259 SqFt,6,3,2F,Developed/2F,Dbl. Att. Gar.,,4772017
0.43 KM,Detached,Bi-Level,91 Taralea Cres NE,Calgary AB T3J 5A8,Feb/18/2025,"565,000",123 +/-,Inferior,494 SqM,2004,Superior,1120 SqFt,5,1,1F 1H,Developed/1F,Dbl. Att. Gar.,,4772017
0.23 KM,Detached,Bi-Level,232 Taracove Rd NE,Calgary AB T3J 5A2,Apr/25/2025,"575,000",15 +/-,Inferior,309 SqM,2003,Average,1189.04 SqFt,6,3,2F,Developed/1F,Gravel pad,,4772017
0.21 KM,Detached,2 Storey,130 Hidden Ranch Rd NW,Calgary AB T3A 5S6,Apr/25/2025,"668,500",56,Superior,10.97mx 34.0m / 373,1996,Good,1811 SqFt,7,3,2F 1H,Full/Finished,Dbl. Att. Gar.,,4772152
0.17 KM,Detached,2 Storey,193 Hidden Ranch Hill NW,Calgary AB T3A 5X6,Feb/21/2025,"650,000",29,Superior,16.74mx31.04m /416,1998,Good,1554 SqFt,6,3,2f 1H,"Full, Walkout",Dbl. Att. Gar.,,4772152
1.69 KM,Detached,2 Storey,10673 Hidden Valley Dr NW,Calgary AB T3A 5V3,Feb/03/2025,"700,000",4,Similar,11.64m x 33.99m/393,1997,Excellent,1548 SqFt,7,3,2F 1H,Full/Finished,Dbl. Att. Gar.,,4772152
0.22 KM,Townhouse,2 Storey,42 Sandringham Crt,Brampton ON L6T 3Z3,Jan/25/2025,"675,000",67,Similar,Condo Property,50,Similar,1178 SqFt,6,3,2:1,Full/Finished,Sgl. Att. Gar.,,4775892
0.18 KM,Townhouse,2 Storey,41 Lincoln Crt,Brampton ON L6T 3Z2,Dec/06/2024,"659,900",7,Similar,Condo Property,50,Superior,1178 SqFt,7,3,1:1,Full/Finished,Sgl. Att. Gar.,,4775892
1.84 KM,Townhouse,2 Storey,238 Fleetwood Cres,Brampton ON L6T 2E7,Mar/10/2025,"628,000",12,Similar,Condo Property,54,Similar,1231 SqFt,7,4,2:0,Full/Finished,Sgl. Att. Gar.,,4775892
1.23 KM,Detached,2 Storey,320 Everglade Cir SW,Calgary AB T2Y 4M8,Mar/23/2025,"890,000",33,Similar,430 SqM,2006,Excellent,2540 SqFt,8,4,2:1,Full/Finished,Dbl. Att. Gar.,,4776066
0.28 KM,Detached,2 Storey,161 Everoak Cir SW,Calgary AB T2Y 0A2,Feb/14/2025,"900,000",6,Superior,386 SqM,2006,Good,2274 SqFt,8,3,2:1,Full Finished/Walkout,Dbl. Att. Gar.,,4776066
0.97 KM,Detached,2 Storey,1845 Evergreen Dr SW,Calgary AB T2Y 5B1,Feb/08/2025,"905,000",10,Similar,445 SqM,2004,Excellent,2431 SqFt,8,3,2:1,Full/Finished,Dbl. Att. Gar.,,4776066
3.38 KM,Detached,1 Storey,1584 North Shore Dr,Lowbanks ON N0A 1K0,Feb/27/2025,"500,000",118,Similar,88' x 266' / 0.5ac±,1962,Inferior,1032 SqFt,7,3,1:0,Full/Unfinished,2 Car Detached,,4773295
11.28 KM,Detached,1 Storey,12017 Station Rd,Wainfleet ON L0S 1V0,Dec/11/2024,"750,000",88,Superior,520' x 206' / 2.5ac±,1950±,Superior,1560 SqFt,7,3,1:0,Full/Unfinished,Driveway,,4773295
11.28 KM,Detached,1 Storey,7167 Rainham Rd,Dunnville ON N1A 2W8,May/02/2025,"830,000",88,Superior,200' x 173' / 1ac±,1970±,Superior,1700 SqFt±,7,3,2:0,Full/Finished,3.5 Car Detached,,4773295
0.78 KM,Detached,2 Storey,6 McIntyre Pl,Langdon AB T0J 1X2,Apr/08/2025,"770,000",9 +/-,Superior,920 SqM,2005,Good,2352.10 SqFt,9,3,3F,Full/Finished,Dbl. Att. Gar.,,4775247
1.10 KM,Detached,2 Storey,3 Lloyd Cres NE,Langdon AB T0J 1X1,Apr/07/2025,"652,500",16 +/-,Similar,1012 SqM,1998,Good,1560.55 SqFt,7,3,2F 1H,Full/Unfinished,Dbl. Att. Gar.,,4775247
0.20 KM,Detached,2 Storey,42 Besse Ave,Langdon AB T0J 1X2,Mar/24/2025,"785,000",18 +/-,Similar,809 SqM,2004,Superior,2238.50 SqFt,8,4,2F 1H,Full/Finished,Dbl. Att. Gar.,,4775247
9.91 KM,Detached,1 Storey,4 Philips Court,Haldimand ON N1A 2W2,Apr/14/2025,"1,315,000",25,Similar,136' x 257'± / 0.5ac±,2018,Superior,2000 SqFt,7,3,2:1,Full/Unfinished,3 Car Attached,,4773534
10.28 KM,Detached,2 Storey,1376 Bird Road,Haldimand ON N1A 2W2,Mar/28/2025,"1,195,000",16,Similar,115' x 363'± / 1ac±,1995±,Similar,2009 SqFt,8,3,2:1,Full/Finished,2 Car Attached,,4773534
1.60 KM,Detached,2 Storey,54025 Wellandport Rd,Wainfleet ON L0S 1V0,Nov/28/2024,"1,410,000",80,Similar,795' x 468'± / 4ac±,1980,Inferior,4302 SqFt,8,4,3:1,Full/Finished,2 Car Detached,,4773534
3.16 KM,Detached,1 Storey,6040 Middle Side Rd,Amherstburg ON N9V 0C8,Nov/17/2024,"674,000",12,Similar,150 x150,52,Average,1418 SqFt,7,3,2:0,Full/Finished,Dbl. Det. Gar.,,4773833
4.69 KM,Detached,1 Storey,7050 County Road 18,Amherstburg ON N9V 2Y7,Feb/11/2025,"680,000",25,Similar,109 x 198,70,Average,1089 sqft,7,6,2:0,Full/Finished,Trpl. Det. Gar.,,4773833
2.81 KM,Detached,4 Level Split,737 Concession Rd 2,Amherstburg ON N9V 3R3,Mar/04/2025,"760,000",15,Similar,85 x 200,52,Average,2685 SqFt,10,5,2:0,Full/Finished,Dbl. Att. Gar.,,4773833
0.40 KM,Detached,1 Storey,605 Truedell Rd,Kingston ON K7M 6S7,Feb/05/2025,"595,000",6,Inferior,50' x 108' / 5400 sf,48,Average,"1,158 SqFt",7+3,3,1:1,Part/Finished,Single Attached,,4776648
0.13 KM,Detached,1 Storey,355 Boxwood St,Kingston ON K7M 0B4,Apr/05/2025,"655,000",10,Similar,"35' x 139' / 4,865 sf",17,Similar,"1,537 SqFt",8,3,2:0,Full/Unfinish/WO,Single Attached,,4776648
0.45 KM,Detached,Split Level,862 Kilburn St,Kingston ON K7M 6A9,Apr/14/2025,"630,000",55,Similar,"60' x 115' / 6,900 sf",49,Inferior,"1,494 SqFt",13,4,2:0,Part/Finished,Double Attached,,4776648
0.68 KM,Detached,2 Storey,565 Boulder Creek Cir,Langdon AB T0J 1X3,Mar/28/2025,"826,000",42,Similar,7840 SqFt,17,Inferior,2342 SqFt,8,3,2:1,Unfinished/Walkout,Quad or More Attached,,4777578
0.38 KM,Detached,2 Storey,264 Boulder Creek Dr,Langdon AB T0J 1X3,Apr/25/2025,"930,000",18,Inferior,8276 SqFt,11,Similar,2700 SqFt,8,3,3:1,Full/Finished,Quad or More Attached,,4777578
1.60 KM,Detached,2 Storey,115 Hanson Dr NE,Langdon AB T0J 1X1,Apr/17/2025,"837,500",36,Inferior,10018 SqFt,14,Inferior,1917 SqFt,7,3,3:1,Full/Finished,2 Atta+ 2 Deta,,4777578
0.02 KM,Detached,2 Storey,25 Timberline Crt SW,Calgary AB T3H 6C8,Apr/30/2025,"2,700,000",34 +/-,Superior,839 SqM,2023,Similar,4180 SqFt,9,5,3F 1H,Full Finished/Walkout,Trpl. Att. Gar.,,4776534
